Temperatura, Humedad, Precipitacion, Dir.Viento, F.Viento, Vel.Viento 
28.40,40.50,0.00, N ,Calmo               ,0.00
28.30,40.90,0.00, N ,Calmo               ,0.00
28.30,41.10,0.00, N ,Calmo               ,0.00
27.70,41.40,0.00, N ,Calmo               ,0.00
27.70,41.50,0.00, N ,Calmo               ,0.00
27.60,41.50,0.00, N ,Calmo               ,0.00 	
28.40,40.50,0.00, N ,Calmo               ,0.00
28.30,40.90,0.00, N ,Calmo               ,0.00
28.30,41.10,0.00, N ,Calmo               ,0.00
27.70,41.40,0.00, N ,Calmo               ,0.00
27.70,41.50,0.00, N ,Calmo               ,0.00
27.60,41.50,0.00, N ,Calmo               ,0.00
27.60,41.50,0.00, N ,Calmo               ,0.00
27.60,41.50,0.00, N ,Calmo               ,0.00
27.60,41.60,0.00, N ,Calmo               ,0.00
27.60,41.60,0.00, N ,Calmo               ,0.00
27.50,41.60,0.00, N ,Calmo               ,0.00
27.50,41.70,0.00, N ,Calmo               ,0.00
27.50,41.60,0.00, N ,Calmo               ,0.00
27.50,41.60,0.00, N ,Calmo               ,0.00
27.50,41.60,0.00, N ,Calmo               ,0.00
27.40,41.70,0.00, N ,Calmo               ,0.00
27.40,41.70,0.00, N ,Calmo               ,0.00
27.40,41.70,0.00, N ,Calmo               ,0.00
27.40,41.70,0.00, N ,Calmo               ,0.00
27.40,41.60,0.00, N ,Calmo               ,0.00
27.40,41.70,0.00, N ,Calmo               ,0.80
27.30,41.70,0.00, N ,Calmo               ,0.00
27.30,41.70,0.00, N ,Calmo               ,0.00
27.30,41.80,0.00, N ,Calmo               ,0.00
27.30,41.80,0.00, N ,Calmo               ,0.00
27.30,41.80,0.00, N ,Calmo               ,0.00
27.20,42.00,0.00, N ,Calmo               ,0.00
27.20,42.30,0.00, N ,Calmo               ,0.00
27.20,42.40,0.00, N ,Calmo               ,0.80
27.20,42.50,0.00, N ,Calmo               ,0.00
27.20,42.50,0.00, N ,Calmo               ,0.00
27.20,42.60,0.00, N ,Calmo               ,0.00
27.20,42.70,0.00, N ,Calmo               ,0.00
27.10,42.60,0.00, N ,Ligero              ,2.41
27.00,42.70,0.00, N ,Calmo               ,1.61
27.00,42.50,0.00, N ,Ligero              ,2.41
27.00,42.60,0.00, N ,Ligero              ,2.41
27.00,42.60,0.00, N ,Ligero              ,3.22
26.90,42.60,0.00, N ,Ligero              ,3.22
27.00,42.60,0.00, N ,Briza ligera        ,4.02
26.30,44.10,0.00, N ,Calmo               ,0.00
26.30,44.40,0.00, N ,Calmo               ,0.00
26.30,44.50,0.00, N ,Calmo               ,0.00
26.30,44.50,0.00, N ,Calmo               ,0.00
26.30,44.50,0.00, N ,Calmo               ,0.00
26.30,44.50,0.00, N ,Calmo               ,0.00
26.30,44.40,0.00, N ,Calmo               ,0.00
26.30,44.40,0.00, N ,Calmo               ,0.00
26.30,44.40,0.00, N ,Calmo               ,0.00
26.30,44.50,0.00, N ,Calmo               ,0.00
26.30,44.40,0.00, N ,Calmo               ,0.00
26.30,44.30,0.25, N ,Calmo               ,0.00
26.30,44.30,0.25, N ,Calmo               ,0.00
26.30,44.30,0.25, N ,Calmo               ,0.00
26.20,44.30,0.25, N ,Calmo               ,0.00
26.30,44.40,0.25, N ,Calmo               ,0.00
26.30,44.40,0.25, N ,Calmo               ,0.00
26.30,44.30,0.25, N ,Calmo               ,0.00
26.30,44.30,0.25, N ,Calmo               ,0.00
26.30,44.30,0.25, N ,Calmo               ,0.00
26.30,44.30,0.25, N ,Calmo               ,0.00
26.30,44.30,0.25, N ,Calmo               ,0.00
26.30,44.30,0.25, N ,Calmo               ,0.00
26.30,44.30,0.25, N ,Calmo               ,0.00
26.30,44.30,0.51, N ,Calmo               ,0.00
26.30,44.40,0.51, N ,Calmo               ,0.00
26.30,44.50,0.51, N ,Calmo               ,0.00
26.30,44.60,0.51, N ,Calmo               ,0.00
